Ice_shelf,Area (km^2),Median constraint proximity (km),Max constraint proximity (km),Constraint proximity skewness,Topography-corrected disturbance stdev (mGal),Gravity error RMS (mGal),Predicted optimal inversion RMSE (m),Predicted optimal topographic improvement (m)
Fitzgerald,312,5.77,18.76,0.57,8.00,12.20,3.68,15.43
Mulebreen,303,5.47,9.62,-0.08,7.16,8.40,3.68,15.43
Helen,291,18.56,26.47,-0.32,6.38,7.12,47.16,-0.84
Wordie,288,4.00,9.05,0.22,6.76,5.64,2.95,8.40
Slava,286,7.90,18.43,0.20,7.15,13.18,4.00,17.75
Williamson,278,8.69,16.65,0.05,9.64,4.92,5.63,22.22
Zubchatyy,275,6.49,11.91,-0.04,8.64,8.41,4.00,17.75
GeikieInlet,265,3.71,7.52,0.00,21.01,8.31,3.56,5.09
Matusevitch,259,5.01,9.88,-0.08,5.84,5.81,3.62,15.49
May_Glacier,244,5.73,17.20,0.80,2.18,15.20,3.62,15.49
Brahms,238,3.37,7.61,0.31,5.24,8.32,3.04,5.62
Nordenskjold,229,4.25,9.19,0.15,10.34,9.24,3.07,8.29
Frost,229,3.05,9.51,0.65,6.22,6.92,3.01,5.65
Suvorov,214,7.20,26.18,1.32,10.18,9.77,4.00,17.75
Hull,206,4.18,9.87,0.27,8.04,5.77,2.95,8.40
PourquoiPas,195,5.91,10.95,-0.19,2.80,14.62,3.62,15.49
Hamilton,178,4.09,11.37,0.23,2.30,15.10,2.98,8.37
Rund_Bay,173,5.04,12.50,0.44,10.13,8.48,3.68,15.43
Underwood,167,9.74,14.76,-0.66,13.35,4.74,6.70,21.15
Fisher,157,6.06,13.47,0.24,6.04,9.23,3.62,15.49
Moubray,150,5.21,9.10,-0.13,5.52,7.44,3.62,15.49
Sorsdal,133,3.15,6.76,0.16,8.58,8.38,3.01,5.65
HornBluff,126,4.50,10.06,0.34,8.06,10.21,2.95,8.40
Gillet,124,6.06,13.04,0.14,5.70,15.12,3.62,15.49
Ferrigno,116,3.72,9.38,0.31,3.51,7.84,3.04,5.62
Verdi,110,4.41,8.30,0.05,8.74,8.31,2.95,8.40
Noll,110,6.86,13.63,-0.15,4.50,15.01,3.65,18.10
Hoseason,109,4.48,8.55,-0.04,5.34,8.41,2.98,8.37
Tinker,108,2.80,6.51,0.36,11.67,9.89,2.43,3.49
Myers,106,6.96,10.66,-0.42,3.91,8.40,3.65,18.10
Walgreen,102,6.78,10.11,-0.53,6.34,7.80,4.00,17.75
SmithInlet,98,2.54,4.39,-0.36,7.42,9.52,2.42,3.51
Wylde,98,6.23,15.43,0.25,4.82,7.06,3.62,15.49
Richter,97,3.55,10.37,0.58,6.42,14.92,3.01,5.65
Cheetham,97,3.10,9.20,0.68,12.17,5.40,3.10,5.56
Utsikkar,95,4.99,9.41,-0.15,0.61,8.43,3.62,15.49
Ainsworth,94,3.31,7.79,0.30,9.09,8.54,3.01,5.65
Philbin_Inlet,90,1.94,4.11,-0.17,7.05,5.67,2.42,3.51
Dennistoun,88,2.80,6.57,0.07,2.64,14.30,2.49,3.44
Andreyev,87,3.67,8.07,0.26,2.37,14.77,3.04,5.62
Ironside,82,2.41,5.69,0.11,14.66,9.63,2.56,3.37
WattBay,80,5.03,9.01,-0.21,4.67,11.26,3.62,15.49
Astrolabe,79,2.42,4.79,-0.00,10.54,4.66,2.43,3.49
Cirque_Fjord,75,5.75,9.58,0.33,0.97,8.39,3.62,15.49
Flatnes,74,2.25,6.34,0.49,4.57,8.47,2.49,3.44
Francais,70,2.47,5.84,0.24,5.24,11.26,2.49,3.44
Campbell,69,2.11,4.36,-0.06,10.72,7.99,2.43,3.49
Whittle,68,6.75,10.09,0.11,6.35,8.70,4.00,17.75
Thomson,67,3.71,9.96,0.59,7.13,6.47,3.01,5.65
Deakin,65,3.33,7.78,0.18,3.25,11.70,3.04,5.62
Parker,61,2.11,10.52,1.55,9.18,13.04,2.42,3.51
HarbordGlacier,60,2.72,6.22,0.34,7.49,5.47,2.42,3.51
Jackson,60,6.65,10.59,-0.08,3.14,10.13,3.65,18.10
Holt,57,1.78,5.23,0.35,6.59,6.51,2.42,3.51
Drury,56,3.14,9.46,0.50,3.24,12.96,3.04,5.62
Zelee,41,2.84,6.07,0.10,13.86,6.49,2.43,3.49
Dalk,35,1.10,2.57,0.15,6.25,8.30,2.42,3.51
Marret,26,1.63,4.78,0.88,6.49,14.31,2.42,3.51
Mandible_Cirque,25,2.62,4.33,-0.02,7.62,9.85,2.42,3.51
